prompt,type
"A classic red can with the text ""Soda"" in bold, white letters written on it.",object
"A basketball with the word ""Hoops"" prominently displayed on it.",object
"A bright yellow smiley face sticker with the word ""Smile"" written underneath.",object
"A rustic wooden sign with the words ""Welcome"" carved into it.",object
"A handwritten sticky note with the reminder ""Pick up groceries"".",object
"A vintage postcard with the words ""Wish you were here"" written across the front.",object
"A t-shirt with the bold statement ""Be Kind"" printed in colorful letters.",object
"A personalized necklace with the name ""Sarah"" engraved on a pendant.",object
"A birthday cake with ""Happy Birthday!"" written in colorful frosting.",object
"A pair of sunglasses with the word ""Sunshine"" etched on the lens.",object
"A cushion with the words ""Queen of Hearts"" embroidered on it.",object
"A dog collar with the pet's name, ""Lucky"" engraved on a metal tag.",object
"A vibrant mural with the inspiring message ""Dream Big"" painted in large letters.",object
"A weathered chalkboard with the math equation ""3 + 5 = 8"" written on it.",object
"A smartphone screen displaying the text message ""Hello there!""",object
"A classic novel with the title ""The Wind in the Forest"" on the spine.",object
"A pair of jeans with a pocket stitched with the word ""Adventure"".",object
"A coffee mug with the quote, ""Coffee first.""",object
"A jar of peanut butter with the label reading ""Smooth & Creamy"".",object
"A street sign with the word ""Yield"" in bold yellow letters.",object
"A necklace with a star-shaped pendant engraved with the word ""Wish"".",object
"A stack of pancakes with the word ""Delicious!"" written in syrup.",object
"A retro neon sign with the word ""Open"" flashing brightly.",object
"A handwritten note sating like ""apples”.",object
"A child's drawing with the caption ""My House"" scrawled across the top.",object
"A photo of a graduation cap with the year ""2024"" printed on a tassel.",object
"A baseball cap with the word ""Play Ball!"" embroidered on it.",object
"A wedding invitation with the phrase ""You're Invited!"" elegantly printed.",object
"A colorful poster promoting a concert with the text ""Live Music"".",object
"A box of chocolates with a label reading ""Sweet Treats"".",object
"A magazine cover with the headline ""Inspiring Stories"".",object
"A travel luggage tag with ""My Luggage"" written on it.",object
"A keyring with the word ""Home"" written on it.",object
"A motivational poster with the quote ""Reach for the Stars"".",object
"A coin with the words ""Good Luck"" inscribed on it.",object
"A sandwich with the word ""Yummy!"" written in ketchup.",object
"A tool with the word ""Build"" clearly stamped on it.",object
"A prize ribbon with the words ""Winner"" prominently displayed.",object
"A scrap of paper that says ""Hello Friend""",object
"A flag with the word ""Peace"" and a symbol of a dove.",object
"A sports jersey with the word ""Champion"" on the back.",object
"A menu with the heading ""Today's Specials"".",object
"A bottle of shampoo with the words ""Nourish & Shine"".",object
"A ring with a sparkling gemstone and the word ""Forever"" engraved.",object
"A map with the words ""Find Your Way"".",object
"A painting with the word ""Imagine"" subtly placed within the artwork.",object
"A piece of fruit with a sticker featuring the word ""Fresh"".",object
"A toy with the label ""Hours of Fun"".",object
"A house with the word ""Welcome"" on a doormat.",object
"A birthday cake with the inscription ""Happy 20th!"" written in colorful icing.",object
"A coffee mug with the phrase ""But First, Coffee"" printed on the side.",object
"A red t-shirt with the statement ""Love Wins"" in rainbow lettering.",object
"A street sign with the word ""STOP"" displayed in bold, white letters.",object
"A dog tag with the pet's name ""Max"" engraved on it.",object
"A handwritten note with the simple message ""Thank You"".",object
"A postcard with the greeting ""Hello from Paris!"" displayed across the front.",object
"A baseball cap with the name ""Chester Racecourse"" stitched on the front.",object
"A wooden sign with the words ""Welcome Home"" carved in a rustic font.",object
"A graduation cap with the graduation year ""2024"" displayed prominently.",object
"A pair of jeans with the brand label ""Denim Co."" on the back pocket.",object
"A post it note with the phrase ""In God We Trust"" written on it.",object
"A sign with the words ""Fresh Lemonade"" and an arrow pointing to a stall.",object
"A tool with the manufacturer's name ""Craftsman"" stamped near the handle.",object
"A prize ribbon with the text ""1st Place"" printed in gold lettering.",object
"A sticker with the words ""Good Boy"" written on it.",object
"A sports jersey with the player's name ""Smith"" on the back, with no number.",object
"A pavement with the words ""Dig Here"" written on it.",object
"A piece of jewelry with a heart pendant engraved with the inscription ""Forever"".",object
"A road map with the current city name ""Chicago"" circled in red.",object
"A painting with the artist's signature ""Wayne Roonberry"" in the bottom corner.",object
